标题,来源,概要,内容,链接
眼界 | 法国,稿源：南方人物周刊  |  作者： 图/Christophe Petit Tesson  日期： 2018-01-03,4月11日，法国巴黎，民众聚集在共和国广场，抗议劳动法改革。这场名为“不眠夜（La Nuit Debout）”的集会抗议活动由3月11日开始，一直持续至今。此次抗议活动的导火索是法国劳动部长米利安姆·库姆里提出的新劳动法。为解决法国10.2%的高失业率问题，新劳动法放宽了裁员限制，给予企业更多自由。, ,http://www.nfpeople.com/article/5435
图片故事 | 渐冻人生,稿源：南方人物周刊  |  作者： 图 / 文 本刊记者 梁辰  日期： 2018-01-03,由于病因尚不明确，也没有确实有效的治疗方案和药物，ALS被称为人类五大绝症之一,点击图片查看图集按摩、翻身、喂药、雾化、吸痰、戴氧气面罩……爸爸妈妈两个人忙活了半个多小时，终于把王甲从轮椅“安顿”到床上，他的两只大眼睛直直地望向妈妈，示意要调整面罩。那是他全身上下唯一没有被“冰冻”的部位，也只有妈妈可以第一时间领会每个眼神细微的不同和确切的含意。此时外屋静悄悄的，下午5点半，依然没有要做饭的迹象。客厅的窗帘保持闭合，跟白天一样。王甲操作电脑使用的眼控仪需要暗光环境，所以客厅一整天都笼罩在黑暗中，即便窗外是艳阳高照的夏天。忙活了半天，王爸爸坐在昏暗的客厅休息，“虽然他这样了，但只要他在，我们还是3个人，还是个家。希望他能再坚持七八年，等我们也动不了了，一把火把我们仨烧成灰，完事。”最近两个月，王甲4次在屏幕上打出“爸，做好心理准备，我今晚可能过不去了”，每次都是晚上10点半左右。王甲已经是晚期病人，24小时不离呼吸机，饮食全靠一根胃造瘘管灌入体内，1米8的个子整日瘫坐在轮椅上，脑袋需要一根绳子固定。患病7年，比平均存活年限延长近一倍，已算是一个奇迹。让王甲存活下来的，除了父母无微不至的护理，还有他乐观和积极的心态——属于31岁年轻人的朝气。他曾告诉爸妈，自己的生命肯定不长了，要用余下的生命，为这个群体争取更多的关注和利益。这些天“冰桶挑战”席卷全球，“渐冻症”一时成为关注的热点。王甲意识到为渐冻症群体发声的最佳时机到了，他让爸爸答应接受所有媒体的采访，甚至不惜接受冰桶挑战。最近每天来采访的媒体络绎不绝，对于记者的提问，王甲要先用眼控仪在屏幕上拼出一个一个字来，然后选择发声按钮，由一个字正腔圆的男声把这段文字朗读出来。一名记者问王甲想去哪儿旅行，他回答：“我世界上哪儿也没去过，除了（家乡）白城就是北京，所以我想去的地方太多了。最想去的是天堂，不要害怕，因为那里是永恒的归宿。”等待他打字时，房间里只能听到呼吸机传出的沉重呼吸声，让人觉得漫长而压抑，但随后播放的回答又常常令人发笑：“对头”（表示肯定），“帅吗”（指自己患病前的照片），“女神你好”（一女演员来家中探望时向她问好）……借由这并非出自他声带的声音，让人仿佛看到这副被冰封的躯体下灵动鲜活的灵魂 。与王甲家访客络绎不绝的热闹场面相比，张凤芝的家显得冷清许多。自从2010年患病以来，她的日常护理成为这个家庭的难题，丈夫还没有退休，女儿正上大学。更糟糕的是，她不习惯像王甲那样使用眼控仪打字，因此交流困难。这就需要护理的人了解她的习惯，与她培养默契。她一刻也不能离开人，曾经因为打个喷嚏导致身体失衡，整个人摔倒在地，头破血流，保姆那时恰巧在厨房。这些年家里来往最多的就是保姆，换过不下20个，干得长的两三个月，有的来一天就走人了。 张凤芝的病情已经发展到晚期，日常护理需要特别用心：一日三餐要把食物切成碎丁再榨成汁，注入胃造瘘导管，每半小时一次；每天4－5次全身按摩，防止肌肉僵硬；大小便要抬到坐便器上进行。这样的护理强度收费较高，每月至少4000元，还有药物和营养品的费用，让这个工薪家庭每月需要亲戚的接济度日。丈夫刘国梁的单位比较通融，没事的时候他可以早下班。照顾病人让这个中年男人细心起来，每次买衣服鞋子，他都会先从商场拍下照片，回来给妻子选择，满意哪款再回去买，“谁让我的眼光不如她呢。”坐在轮椅上的妻子张开嘴，笑了。她脚上崭新的蓝底白色星星的布鞋，就是这么买来的。最熬人的还是晚上。渐冻症患者由于肌肉僵硬酸痛，常常彻夜无法入睡。刘国梁就搬来一张小床，睡在妻子旁边。晚上她失眠，他就起来为她按摩、翻身、换睡姿，抱起来小便，如是循环，直到天亮。4年下来，他瘦了16斤。像王甲和张凤芝这样的渐冻症（全名肌萎缩侧索硬化症，简称ALS）患者在我国大约有20－30万。这只是估算的数字，目前尚无专门机构负责此项统计。由于病因尚不明确，也没有确实有效的治疗方案和药物，ALS被称为人类五大绝症之一。目前，医学界公认的能够延缓病情发展的药物只有“力如太”，它被称为“孤儿药”，因此价格高昂，服用一个月需要4500元左右，且属于全自费药物。许多初期的病人，因为不能承受这个价格，选择了放弃服用。王鹏生刚刚被确诊为ALS，他一个月内两次从老家黑龙江鸡西来到北京，跑了七八家医院，就是希望能有一家医院推翻前面的诊断。当一位国内最权威的专家得出相同的确诊结果后，老王知道自己期待的“奇迹”终究不会实现，于是拎着行李，直接从医院门诊赶去火车站坐车回家。随身携带的挎包里装着一盒刚刚购买的“力如太”，放在最里层的口袋里，“这比我身上其他所有东西都贵。”为了省钱，他在北京就住在医院附近的简易出租房，40元一天。王鹏生打算回家后继续带高三英语课，像没有患病时一样，规律地生活，直到自己不能动弹。一对双胞胎女儿刚刚研究生毕业，他眼看就要和老伴享受天伦之乐了，却遭遇疾病的打击。目前除了手指不灵活，使不上力，老王身上还没有出现更多症状，他不能相信自己得了绝症，更不想成为家庭和社会的负担。他曾试图寻短见，被老伴以死相逼拉了回来。女儿早上看到父亲红肿的眼睛，知道他夜里又偷偷掉眼泪了。初期ALS病人都要经历面对和接受病情的阶段，有些由于情绪低落和过度自闭患上了忧郁症。只有在候诊室跟病友们在一起时，王鹏生才觉得心里“敞亮”些，东北人的直爽性格和通过互联网掌握的ALS专业知识让他成为病友们的免费咨询师。一位尚未确诊的病人询问起“力如太”的价格，老王心直口快，“一粒80块，一直吃到死。”,http://www.nfpeople.com/article/2789
【眼界】法国的“红魔鬼伞兵团”,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,6月6日，法国贝努维尔，70年前服役于英国“红魔鬼伞兵团”的老兵弗雷德·格洛弗（Fred Glover）观看伞兵再现诺曼底登陆的空降场景。1944年6月6日，“红魔鬼伞兵团”在朗维尔镇海滩登陆，正式拉开诺曼底战役的序幕。70年后，300名来自美、英、法、加的伞兵再现当年的场面。（图/Paul Grover）, ,http://www.nfpeople.com/article/2375
【眼界】西班牙奔牛节,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,"7月6日，西班牙潘普洛纳，来自世界各地的狂欢者庆祝奔牛节开幕。潘普洛纳奔牛节是西班牙的传统节日，始于1591年，每年都吸引了数万人参加。美国作家海明威在1926年出版的小说《太阳照样升起》中描述了节日盛况，此后，这一节日才变得世界闻名
（图/Vincent West）", ,http://www.nfpeople.com/article/2567
眼界 | 比利时,稿源：南方人物周刊  |  作者： 图/Olivier Matthys  日期： 2018-01-03,4月3日，比利时首都布鲁塞尔，歌手和民众聚集在交易所广场上的临时纪念点，合唱比利时的经典歌曲，哀悼恐怖袭击的遇难者。3月22日，布鲁塞尔机场和地铁遭遇恐怖袭击，造成至少34人死亡。, ,http://www.nfpeople.com/article/5399
【眼界】新加坡市民的慢跑锻炼,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,"4月21日，新加坡，市民在夜色中的金融区慢跑锻炼。
​图/Edgar Su", ,http://www.nfpeople.com/article/1940
图片故事 | 三峡原乡,稿源：南方人物周刊  |  作者： 图、文  陈文  日期： 2018-01-03,22年光阴，弹指一挥间。当我们的视线向长江三峡这一片古老的大地凝视，最让人心悸的不只是江河容颜，还有百万移民、泱泱百姓。,1993年开始的长江三峡水利枢纽工程移民分期进行，直至2010年9月，共计搬迁移民139．76万人。当三峡大坝地标似的横亘在中国当代社会改革开放的历史版图中，海拔175米的长江水位已经跃过高岗山峦，吞下城池田地，淹没了长江上游20个县市区行政地，构成了中国式新地形景观：高峡平湖。举世瞩目的长江三峡水利枢纽工程自2003年6月开始蓄水，接下来发电、通航等综合效益逐步发挥，三峡库区进入“后三峡时代”。三峡移民背井离乡，很多外迁异地。他们告别的不仅是赖以生存的土地，还有自古至今的乡土文化，人文背景。迁移，对于这些活生生的人物来讲，既是生存环境的大改变，也是一次命运大转折。移民在现实生活中的非志愿迁徙、流动、择址、新居，环境、形势均迫使这个群体必须先谋生存，后求发展。他们的社会身份发生了确实的扭变：对于故乡来讲，他们成为流落外地的过客；对于迁入地来讲，他们却又是异乡人。我看见，他们的焦虑，他们的孤愁，更难忘记他们一颗颗灼烫、跳跃的心。我零距离地目睹了这一场撼天动地的人类历史大迁徙，用相机定格了三峡移民这22年间（1993年-2015年）的系列瞬间。我希冀，这些图像记载的不仅仅是他们在峡江中过往的人生事实，而且是一帧帧能够寄寓移民们舒心与温暖的原乡记忆。22年光阴，弹指一挥间。当我们的视线向长江三峡这一片古老的大地凝视，最让人心悸的不只是江河容颜，还有百万移民、泱泱百姓。2002年11月，湖北宜昌市三斗坪。经过紧张的建设，三峡工程导流明渠即将截流。工地上，以三峡大坝为背景拍纪念照的生意正红火着哩！2008年1月，重庆巫山县。林特产业在三峡蓄水后成为库区移民经济重要的支撑点，这些物质运往城镇流通。水运码头因而成为重要的经济传输枢纽。2003年6月，湖北秭归县归州镇。海拔135米的水位淹掉了原来的商业街，这个标志依然伫立着，但物是境非。2015年2月，重庆巫山县。腊月里，在外工作的移民青年回到三峡家乡举办婚事，依然按照村镇里的风俗在江畔公路边摆起了酒席，洋洋洒洒三四十桌，好不热闹！1993年2月，重庆巫山县巫峡口。三峡工程原貌恍如隔世，这一年开始启动移民。一年一度的冬季枯水位，长江与大宁河交汇处有大面积的河滩，十余年后，三峡二期蓄水淹没至此，它永远地没入江底。,http://www.nfpeople.com/article/4862
【眼界】异乡人,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,每年的6月20日是世界难民日。他们因为战乱、贫穷、宗教迫害等原因被迫逃离祖国，背井离乡艰难生活。他们中的一些人在其他国家生活逐渐步入正轨，却难以返回日思夜想的故乡。, ,http://www.nfpeople.com/article/2473
图片故事 | 汗血马夫,稿源：南方人物周刊  |  作者： 图、文  秦斌  日期： 2018-01-03,在中国，汗血马逐渐成为一些赛马俱乐部的金字招牌。, 汗血马，学名阿哈尔捷金马，原产于土库曼斯坦。目前全世界纯种汗血马约三千余匹，中国有约三百匹，大部分是进口，少量自己培育。在中国，汗血马逐渐成为一些赛马俱乐部的金字招牌。新疆境内的汗血马有近五十匹，目前安居在乌鲁木齐的中国汗血马展示基地。这里的每一匹价值少则几百万元，多则上千万元。它们身材矫健，体态优美，有无尽的耐力和活力。因其奔跑时脖颈部位流出的汗中有红色物质，鲜红似血，故被称为 “汗血宝马”。有幸与这些宝马一起生活的12名驯马师也居住在这里。他们与马相依，称自己是这里的“小马夫”。清理马厩、喂马、遛马、给马洗澡、陪马玩耍……对于他们来说，马是朋友，是知己，是孩子，是“无法替代的一切”。  孜力亚是这里最年轻帅气的驯马师，他有着大大的眼睛、略微带些卷的头发、结实的身材。孜力亚的家乡在伊犁，19岁的维吾尔族小伙家里养着五六匹马。他从7岁开始学习骑马、驯马，带着家里的马参加比赛，18岁那年第一次离开家乡来到马场。巴里斯是孜力亚最心爱的马，因为自从他来到这里就一直和它在一起，每次也都是骑它参加表演。孜力亚说，汗血马和普通马有很大区别，它们的性情更为暴烈，所以，驯它们时，不能太着急，要先从慢步开始，再逐渐过渡到快步和跑。“驯马师要尊重和跟随马的节奏，不能急于求成。”就在两个月前，孜力亚在驯马时受了最严重的一次伤，因为被驯的马遇上一匹母马，不愿意训练，而孜力亚还没有完全调教好它，马一下子发了脾气，咬了他的肚子。“幸好未伤及内脏，过了一周就差不多好了。马也是通人性的，如果好好对它，让它懂你的意思，它不会轻易伤害到你的。”孜力亚一边说着，一边仔仔细细地给每一匹小马涂上凡士林，从头到脚，从前到后，就像照顾自己的孩子。  荣蓉是马场仅有的3名女驯马师之一，也是这里唯一的一名汉族骑手，属于“半路出家”。来马场前，她做的是平面设计工作，因一次设计与马有关的项目爱上了马，几个月前就辞去工作来到了这里。不到1米6的个子，一张娃娃脸，单从外表看很难让人将她和骑手联系在一起。她走起路来大摇大摆，很有力量，刚打个招呼，就风风火火地牵着马“溜”了出去。每位新来的驯马师，要先从清扫马厩开始做起。每天太阳还没升起，荣蓉就要来到马厩清理马粪，喂马、遛马，为马洗澡，再清理马厩。午休过后，她要再重复上午的工作，直至太阳落山。问她每天这样的生活会不会觉得单调，她眉飞色舞地说：“不会啊，每一天都过得很有意思。”27岁的马场教练艾克拉木来自伊犁的骑马世家，家里的哥哥们都是骑手。这天午后，艾克拉木忙着准备第二天的比赛。他拿出鞋油，坐在一个小塑料凳子上，仔细地用布把皮鞋和马具擦得锃亮。下午4点，马场老板陈志峰来了，按照他的要求，艾克拉木找人给马卸了马鞍，让其 “撒了欢儿”。脱了缰的马兴奋地在地上打起滚来，性情暴烈的公马有时会“厮杀”在一起，互相用后蹄踢对方。艾克拉木和同伴们会冒着被踢的危险，将马拉开，而后指挥骑手们挥舞长鞭，追赶马匹。艾克拉木平时话不多，闲下来偶尔会和骑手们抽支烟，聊聊天。他说，他的哥哥在北京和天津的赛马俱乐部上班。“其实我也很羡慕他们，因为会有更多的机会参加国际赛事。”  成为优秀的汗血马骑士是这里每位驯马师的梦想。赛马场上，20岁的孜力亚身着一抹显眼的新绿，表演起马术驾轻就熟。艾克拉木第二天就要带着他心爱的马去外地参加比赛，赛前他会悉心地呵护，让马保持最佳状态。忙完了一天的工作，荣蓉回到马厩做最后的清扫。  夕阳西下，一匹小马驹亲昵地依偎在母亲身旁，在训练场上漫步。一天即将过去。一匹刚参加完训练的汗血马，皮肤表面能看到发达的血管一名驯马师牵着一匹马做脚部浸泡保养驯马师荣蓉在清理马厩，当一名骑马的驯马师，同时也得当马的“保姆”夕阳西下，一匹小马驹追随着妈妈在马场里散步马场主人、野马集团的董事长陈志峰用胡萝卜喂爱马，与其玩耍教练艾克拉木将一批美国矮马搬上车，送往一小学供孩子们参观孜力亚在马场上训练马匹,http://www.nfpeople.com/article/4701
【眼界】巴西的世界杯足球赛,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,巴西里约热内卢，救世基督像被彩色射灯染上巴西国旗的颜色。第20届世界杯足球赛于6月12日至7月13日在南美洲国家巴西12座城市的12座球场举行，这是继1950年之后世界杯第二次在巴西举行。（图/Yosuyoshi Chiba）, ,http://www.nfpeople.com/article/2373
【眼界】委内瑞拉的大卫大厦,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,"30岁的Gabriel Rivas在废弃的大卫大厦的高层阳台上举重健身。大卫大厦（Tower of David）是位于委内瑞拉首都加拉加斯市中心的贫民窟。这座摩天大厦高195米，包括两座塔楼，共有45层。大楼开建于1990年，但因严重的经济危机，整个建筑只完成大约60%，大约有1300个贫民和流浪汉先后进入大楼并非法定居下来。大卫大厦已成为加拉加斯的一个象征，同时代表着经济上的失败。
图/Jorge Silva", ,http://www.nfpeople.com/article/1686
眼界 | 土耳其,稿源：南方人物周刊  |  作者：   日期： 2018-01-03,11月10日，土耳其苏鲁克镇，一名来自叙利亚科巴尼地区的库尔德妇女在靠近叙利亚边境的难民营地生火取暖。叙利亚人权观察组织9日称，自两个月前“伊斯兰国”(IS)武装分子对叙利亚科巴尼地区发动进攻以来，超过1000人死于交火，其中大多数是IS武装分子。（图/Vadim Ghirda）, ,http://www.nfpeople.com/article/3196
眼界 | 墨西哥,稿源：南方人物周刊  |  作者： 图/Yuri Cortez  日期： 2018-01-03,4月26日，墨西哥城，43名失踪学生的家长在子女失踪18个月后持肖像和火炬游行。据报道，这批失踪的学生来自当地的一所师范学院，于去年9月26日结伴出行，在格雷罗州伊瓜拉与警察发生了冲突。而格雷罗州又有大批黑帮分子出没。在失踪调查过程中，警方在伊瓜拉附近发现了一处新的乱葬岗。民众怀疑，这些学生已被黑帮分子和与他们勾结的警察杀害。, ,http://www.nfpeople.com/article/5510
图片故事 | 珲春小城故事,稿源：南方人物周刊  |  作者： 图、文  中国青年报 赵迪  日期： 2018-01-03,11月4日，5处全新的地名碑出现在吉林省珲春市中俄边境，这标志着俄罗斯于1993年划归中国的4.7平方公里土地被正式命名接收。作为我国面向东北亚开放合作的“窗口”，珲春这座中俄朝三国交界的边境小城再一次引起公众关注,11月7日下午，雪花夹杂在劲风中，纷纷扬扬，吉林省珲春市降下了入冬的第一场大雪。一家开业不久的韩式餐厅店名同时印有中、俄、朝三国的文字，趁着不忙，在这里打工的29岁小伙儿杨海成抱着最新款的玫瑰金色苹果手机刷着朋友圈。夜幕很快降下，欧式街上酒吧霓虹灯闪烁，俄罗斯风情的歌曲和朝韩歌曲交织在一起，不时有三五成群的人走过。珲春展现出一派混搭却迷人的边境小城风情。珲春市区不大，一般打车只需要5元左右，印有三国文字的招牌随处可见，小到十多平方米的两元店，大到全国连锁的百货商场。三国的特色产品和食品也琳琅满目，一些没有读过大学的店家甚至可以用简单的俄语和朝语交流。珲春市位于吉林省最东端，隶属于延边朝鲜族自治州，与俄罗斯、朝鲜山水相连，与韩国、日本隔海相望。这座城市是国内唯一地处中俄朝三国交界的边境城市，被称为中国面向东北亚开放合作的“窗口”。几天前，这里因为一条有关“中俄边境地名碑树立仪式”的新闻，再一次成为公众关注的热点，那“4.7平方公里土地”也成了人们热议的话题。据珲春市旅游局统计，今年的国庆黄金周期间，拥有25万人的珲春市全口径接待国内外游客22.4万人次。经珲春口岸赴俄罗斯的出入境游客突破9000多人次，经圈河口岸出境赴朝鲜旅游的游客达7500多人。对于当地人来说，去俄罗斯和朝鲜游玩是一件很普通的事情。在客运站，有专门直达国外的大巴，几个小时车程就可以到达俄罗斯的符拉迪沃斯托克。不少人会选择到那里去度周末。如果去朝鲜，通过一系列手续后，游客甚至还可以选择自驾游。几年前，杨海成曾经到俄罗斯的餐馆做厨师。“不需要会俄语，只要会炒菜就行了。”中餐在当地特别受欢迎，有不少中国人都生活在那里。他身边不少二十多岁的朋友，没有太多的牵挂，都会选择到俄罗斯和朝鲜打几年工，赚些钱，等结婚生子后再回来生活。在珲春市防川村龙虎阁，来自上海一家大型国企的朱旋律拿着手机和旁边的中、俄、朝三国国旗自拍，并通过手机社交软件分享给朋友。他的身后就是中、朝、俄三国的交界地带。透过高倍望远镜，俄罗斯的边防哨所，朝鲜蹬着二八自行车、身穿蓝色中山装的女人，架立在图们江上的俄朝铁路大桥，都依稀呈现在眼前。朱旋律觉得龙虎阁上的这副望远镜更像是西洋镜，通过它，可以看到许多不一样、却又真实的存在。朝鲜这片土地虽然近在咫尺，却又好像远在天边。在塔上使用望远镜远眺的每一秒钟似乎都格外珍贵。田间一个穿着碎花上衣、蓝色布料棉裤的朝鲜妇人出现在望远镜里时，朱旋律和朋友竟然兴奋地叫了起来，忙不迭地招呼一旁的人去看。而对于另一侧的俄罗斯哈桑镇，在他看来，那里虽然远不及圣彼得堡、莫斯科那些大城市繁华，却给人另外一种感受。在土字碑旁，界碑和缠绕在周围的铁丝网让人感到，界碑的两面指向两个不同的民族、两种不同的文化，而观者的内心也会有一种触碰历史的感觉，对身份和民族的意识会格外强烈。每天早晨，都会有大巴车从俄罗斯开往珲春。那些俄罗斯人会奔向城市的不同方向，商店、火车站、中医院、风景区、酒吧……晚上，他们则会满载而归。每逢年节，每天有上千名俄罗斯游客入境，在珲春旅游，休闲购物。年过六旬的维克多，家本来在俄罗斯阿穆尔州共青城。7年前来珲春旅行时，他一下子喜欢上了这座城市。他觉得这里安静，消费也并不高，便买下了一套四十多平方米的房子居住。当时买珲春这套房子花了他约11万人民币，而如果在俄罗斯的符拉迪沃斯托克，同样大小的却要一百多万元。在他看来，他可以在这里生活得更好。在这里定居后，维克多开始骑着摩托车在中国的各大城市游走，这也成了他退休后的主要生活。选择和维克多一样打算居住在珲春的俄罗斯人，有的经营酒吧，有的在旅行社当导游，有的到学校当老师。晚上，杨海成开始在后厨忙碌，可手机订阅号上发来的一则消息又让他低下了头：从珲春到符拉迪沃斯托克可能要建高速铁路。高铁开通，两地通行时间将大大缩短，这又让他不由得兴奋起来。夜晚的年轻人珲春市防川村中俄界山张鼓峰脚下，一间民办张鼓峰事件纪念馆中，游客在参观老照片珲春圈河口岸，通过口岸可到达朝鲜，一些来珲春旅游的游客纷纷在门外合影留念。朝鲜对于他们来说显得格外神秘珲春高铁站旁，一名乘客透过公交车窗向外眺望珲春防川村一家旅游商品店，一名游客购买了5套朝鲜钱币春化镇，几名小学生趁下课时间打雪仗厨师杨海成坐在餐馆里玩着女友从日本代购的新款玫瑰金色苹果手机23岁的塔莎(左)和朋友在一家面包店喝咖啡。她们3天前从俄罗斯符拉迪沃斯托克市来到珲春旅游11月8日，珲春市防川村龙虎阁，几名游客在观景台上观赏中朝俄三国边境风光，这里是“一眼望三疆”的最佳地点。图们江自防川顺流而下，约15公里后进入日本海，江左是俄罗斯的哈桑镇，江右是朝鲜的豆满江市,http://www.nfpeople.com/article/4900
眼界 | 俄罗斯,稿源：南方人物周刊  |  作者： 图/Alexei Nikolskyi  日期： 2018-01-03,2016年12月22日，莫斯科，普京出席俄外交部为遇刺的驻土耳其大使卡尔洛夫举办的遗体告别仪式。12月19日，卡尔洛夫在参加一个艺术展活动时遭枪击，伤重不治。, ,http://www.nfpeople.com/article/6473
眼界 | 英国,稿源：南方人物周刊  |  作者： 图/Owen Humphreys  日期： 2018-01-03,10月25日，英国北约克郡，惠特比修道院点亮蓝色灯光，迎接即将到来的万圣节。惠特比修道院始建于公元657年，吸血鬼小说的鼻祖布莱姆·斯托克(Bram Stoker)就是在这里获得灵感，创作了经典作品《德拉库拉》（Dracula）。, ,http://www.nfpeople.com/article/6230
眼界 | 比利时,稿源：南方人物周刊  |  作者： 图/Jonas Roosens  日期： 2018-01-03,7月22日，比利时小镇Boom，来自世界各地的上万名音乐爱好者齐聚明日帝国电子音乐节，享受一场由全球顶尖DJ带来的电子音乐盛宴。明日帝国电子音乐节是世界上最大的电子音乐节之一，创办于2005年，每年7月下旬在比利时的小镇Boom举办，为期3天。, ,http://www.nfpeople.com/article/5841
【图片故事】彝族阿哲祭龙,稿源：南方人物周刊  |  作者： 图、文/林添福  日期： 2018-01-03,祭龙是彝族的狂欢节。他们如痴如醉，真如神灵附体一般，不再有平时的戒律和拘束，肆无忌惮地释放人的本性、用他们自己的话说，原始人是不知道害羞的。第二天当公鸡啼鸣，他们又将恢复正常的身份，恢复劳作。,春二月的正午，一队老者或挑担，或手拿器具，悄无声息地走出仅有五十几户人家的彝寨，来到村寨后面的竹林里。风像竹林里的那一株被认作龙树的大黄栗树一样纹丝不动，气氛有些神秘而诡异。老人们或设灶架锅，或烧水杀鸡，不一会儿就将一只公鸡整个煮在米饭锅里，待鸡煮熟后，先在龙树前磕头上祭，然后剥出鸡的两根大腿骨，用一木盘托了，由长老们轮流颠簸三次，以两根腿骨落定的方位，决定谁为今年祭龙的“龙头”。这就是“选龙头”，是对第二天就要正式开始的祭龙仪式的准备和安排。村寨里上60岁的男性老人才有资格参加选龙头。他们还把一种藤子捆在龙树腰上，给住在龙山上的公龙报信：此次将有多少人参祭，要请多少客。祭龙村寨位于云南省弥勒县南部山区，世代为彝族阿哲人居住的地方。由于它的偏僻，民风淳朴，保存下许多古老神秘的传统。次日，春阳暖暖升起，村里的青壮年几乎全裸了身体，腰系树叶或棕裙，相互文身画脸，在身上绘出蝎子、蜈蚣、虎、野猪、狗等图案。他们认为自己的原始祖先就是这样的，这样才能得到龙神的青睐。天光过午，这些手持棍叉弓箭的“原始人”嚣叫开路，引领着全村男子前往“龙山”。祭祀队伍担着一头大活猪，带着各种炊饭用具，浩浩荡荡到了龙山下，由村里德高望重的老毕摩图、文/林添福（巫师）和选出的龙头脱了上衣沐浴净身，到龙山上的龙树下，念经并供奉酒菜，刨出代表龙的一块鹅卵石，小心翼翼捧到山下，众人一阵欢呼：“龙来了！”他们用米酒为龙洗澡，用三对松针穿过龙石，再用一些松针把龙包住。毕摩念经驱邪开过山门后，点燃通往龙山的三道“火门”，龙头穿过火门来到龙树下，将龙石重新放回龙洞里，88根代表女性的松针垫在龙下，99根代表男性的松针盖在龙上，再以剥了皮的松枝、青冈树叶、黄栗树叶搭盖龙宫，12根青竹插上松针，代表一年的12个月，24根向左发叉的松枝叉，代表二十四节气，密密麻麻插在龙宫周围。然后对准西方杀猪，用木刀挖出猪左边的扇子骨，作为神镜，同时将一只象征劳动的木制小钉耙、一只象征收获粮食的小刮器抹了猪血，三样东西一起用芦苇杆捆在龙树上，还在龙树上插一根血染过的青松枝，作为防止山火、保护森林的图腾。昨天的信已传送到这里，请龙来这里聚会，享受龙子龙孙的祭祀和牺牲。老毕摩和龙头率众匍匐在龙树前，给龙上祭磕头，祈求它保佑村寨风调雨顺、粮食丰收、子孙繁衍。李长生长老说：“这里原有一公一母两条龙，后来母龙被抢走了，只有公龙守着这塘水，男龙、女龙一年中就在二月初二和合一天，我们几千年来都在这时祭龙。龙山上的一草一木、一鸟一虫都不能动、不能吃。”即使大跃进时代大炼钢铁、80年代初包产到户时毁灭性的砍伐，龙山上的树木因其神圣性而得以幸存。这种有所敬畏的民风保护了这里的生态。干旱山区的彝族龙山一般也是各村的水源地，保护好龙山，就等于保护了水源。作为从狩猎到农耕过渡时期的重大祭祀，原始人打扮的武士们需在“猎山”上重温古代狩猎过程，哇哇叫着在山上围猎，用石头砍死象征猎物的鸡。祭过龙，打过猎，各种菜也烧好了，祭献龙树，点燃鞭炮，全村男子就在龙山下水塘边铺撒松针，就地排成长龙宴，热热闹闹吃饭喝酒，直到天黑才打着火把回村。祭龙时严禁妇女到龙山。男人们会将龙的生殖器带回村子，让女人们持之狂欢，以生出更多的龙子龙孙。第三天才是祭龙的高潮。下午，村里的青壮男子又装扮成野人并画出各种狰狞恐怖的魑魅魍魉形象，有人将黑山羊羊角绑在头上，手持武器，准备大闹一番，驱除邪气祟秽。驱邪的文身与祭龙时不一样，加上了骷髅、八卦和卐字符。驱邪时一人端一盆米，一个毕摩手持拂尘，另一个毕摩抱一只公鸡，两个野人扛着“鬼楼”，里面有一男一女两个纸扎的小鬼和一只瓦缸，乐队吹奏着不同的调子跟随驱鬼队伍。毕摩念经作法，每家在鬼楼的瓦缸里放一块火炭，倒一点水，点三炷香。野人们挥舞刀斧、铁链，以武器顿地，发出整齐的呼喊：“甲布音！”（砸死它！）、“恩得来！”（勒死它！）气氛热烈狂放。全村每家都驱过之后，天色已昏黑，毕摩和众人就将鬼楼扛到村后捣烂，并拉起一道挂了木刀的绳子，木刀上蘸了鸡血，各种邪恶隔绝在外，全村将一年平安。晚上，女人们在场院上围坐成葫芦形状，每家抬出一簸箕饭菜，迎接被抢走的龙女回村。上了年岁的女人身披树叶蓑衣，手持棍杖，捅向年轻女人，嘴里问：“要儿子还是要女儿？”其他女人则抬起衣服的前襟承接龙种。她们围绕葫芦，走着龙形，边唱边舞，娱神娱人，以各种动作表现薅草、挖地、收割、打场，以及烹饪、纺织、缝纫等技艺。这时是女人的天下，如果有男人闯入，就要受到女人们的围攻——架起男人，往他们嘴里塞大肥肉和鸡腿。男人也会反过来追逐女人，相互嬉戏打闹。最后全村人围成圆圈打跳。这歌舞从远古时代他们围着狩猎的火塘就一直跳到了现在。在月琴、胡琴、笛子和树叶的伴奏下，人们慢慢以顺时针方向旋转着收缩向中心，节奏越跳越快，气氛越来越浓烈，直至终了，挥泪将龙女送出村寨，大家一阵欢呼，三天的祭龙活动才告结束。祭龙是彝族的狂欢节。他们如痴如醉，真如神灵附体一般，不再有平时的戒律和拘束，肆无忌惮地释放人的本性、用他们自己的话说，原始人是不知道害羞的。第二天当公鸡啼鸣，他们又将恢复正常的身份，恢复劳作。,http://www.nfpeople.com/article/1040
